"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"1",1890926058,"18da9e5d-8966-4893-bf70-b3911152d991","5d825b26-25e7-11e3-add6-000c29c9b582","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Opuntia","Opuntia_ficus-indica","","SPECIES","Opuntia ficus-indica (L.) Mill.","Opuntia ficus-indica","(L.) Mill.","CO","Hacienda El Fute.","Cundinamarca","PRESENT",NA,"eac88d99-9f6c-4031-8fc4-8088f0e0dfe7",4.614061,-74.284554,500,NA,2550,0,NA,NA,"",NA,NA,NA,5384064,5384064,"PRESERVED_SPECIMEN","Universidad Nacional de Colombia (UNAL)","COL","208094","9485","",NA,"CC_BY_4_0","Universidad Nacional de Colombia","Jesús Medardo Idrobo","","",2025-02-01 00:25:59,"","COORDINATE_ROUNDED"
"2",4947534340,"27b4ff4b-29c3-4017-9c48-3750861392f7","b8d2c210-93ca-40eb-991b-505dc2fbf6d5","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Opuntia","Opuntia_cochenillifera","","SPECIES","Opuntia cochenillifera DC.","Opuntia cochenillifera","DC.","US","Sebring, Lagrange Avenue and Woodlawn Drive off of Sebring Parkway in between Dinner Lake and Lake Jackson","Florida","PRESENT",NA,"0eabc674-8106-401e-9613-5f10164b562d",27.5076,-81.446,300,NA,NA,NA,NA,NA,"2022-01-06",6,1,2022,8052859,8052859,"PRESERVED_SPECIMEN","NCU","Vascular Plants","NCU00453801","s.n.","Basinger, Mark A.",2022-01-06,"CC_BY_4_0","","Basinger, Mark A.; Basinger, Myra F.","","",2025-03-11 18:45:00,"","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"3",2234397534,"27b4ff4b-29c3-4017-9c48-3750861392f7","e27a1cd9-d660-451a-a114-89887f472482","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Opuntia","Opuntia_ficus-indica","","SPECIES","Opuntia ficus-indica (L.) Mill.","Opuntia ficus-indica","(L.) P. Mill.","US","2 miles north of east-west highway from Forest City, Ark. TRS: T5N R4E sec 19 Crowley's Ridge","Arkansas","PRESENT",NA,"0eabc674-8106-401e-9613-5f10164b562d",35.029299,-90.71918,969,NA,NA,NA,NA,NA,"1966-07-27",27,7,1966,5384064,5384064,"PRESERVED_SPECIMEN","NCU","Vascular Plants","NCU00130317","4889","",NA,"CC_BY_4_0","","Richards, Edward Leon","","",2025-03-11 18:44:50,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"4",1895376006,"33948acc-bfac-4107-92c8-6464de387822","003b8a9fb8ad3c1d62042b0cef2cb65d","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Opuntia","Opuntia_ficus-indica","","SPECIES","Opuntia megacantha Salm-Dyck","Opuntia megacantha","Salm-Dyck, 1834","MX","Ejido del Zapote, cerro de malpaís al W de V. de Santiago","Guanajuato","PRESENT",1,"ff90b050-c256-11db-b71b-b8a03c50a862",20.44,-101.234169,80,NA,855,855,0,0,"1981-06-05",5,6,1981,7284417,5384064,"PRESERVED_SPECIMEN","CNS-UT","TEX","00271177","","H. Bravo",NA,"CC_BY_4_0","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","P. Colunga","NotAType","",2025-02-01 06:15:33,"","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE"
"5",1895349544,"33948acc-bfac-4107-92c8-6464de387822","d8353c2d8f1791afea4ec653bd25bbe7","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Coryphantha","Coryphantha_pycnacantha","","SPECIES","Coryphantha pycnacantha (Mart.) Lem.","Coryphantha pycnacantha","(Mart.) Lem., 1868","MX","Temple of Quetzalcoatl, Méx, Méx","Mexico","PRESENT",1,"ff90b050-c256-11db-b71b-b8a03c50a862",19.6922736,-98.8434307,80,NA,0,0,0,0,"1947-07-15",15,7,1947,7283441,7283441,"PRESERVED_SPECIMEN","CNS-UT","LL","00181869","","A. D. Zimmerman",NA,"CC_BY_4_0","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","F. A. Barkley; G. L. Webster; C. M. Rowell","NotAType","",2025-02-01 06:16:39,"","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE"
"6",1895376066,"33948acc-bfac-4107-92c8-6464de387822","ea8a261a4168f7e576c0e9803d76f0eb","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Opuntia","Opuntia_ficus-indica","","SPECIES","Opuntia megacantha Salm-Dyck","Opuntia megacantha","Salm-Dyck, 1834","MX","Santa maría de los Angeles. Carr Aguascalientes-Zacatecas, desviación a Loreto, Zac. Brecha a Los pinus","Zacatecas","PRESENT",1,"ff90b050-c256-11db-b71b-b8a03c50a862",22.284169,-101.865,70,NA,1035,1035,0,0,"1980-06-16",16,6,1980,7284417,5384064,"PRESERVED_SPECIMEN","CNS-UT","TEX","00271178","","P. Colunga",NA,"CC_BY_4_0","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","P. Colunga","NotAType","",2025-02-01 06:16:42,"","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE"
"7",1895374651,"33948acc-bfac-4107-92c8-6464de387822","0e0e00ff3b449487bd95806a4e7b0edb","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Mammillaria","Mammillaria_albicoma","","SPECIES","Mammillaria albicoma Boed.","Mammillaria albicoma","Boed., 1929","MX","12 mi from river at Victoria on rd to Jamauve","Tamaulipas","PRESENT",1,"ff90b050-c256-11db-b71b-b8a03c50a862",23.6255,-99.203472,60,NA,0,0,0,0,"1952-03-19",19,3,1952,5623051,5623051,"PRESERVED_SPECIMEN","CNS-UT","TEX","00271045","","A. D. Zimmerman",NA,"CC_BY_4_0","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","H. E. Moore Jr.; A. Valiente M.","NotAType","",2025-02-01 06:15:50,"","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE"
"8",1895346226,"33948acc-bfac-4107-92c8-6464de387822","0fb3acad9f5ce80c447db268fcdfdecc","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Opuntia","Opuntia_ficus-indica","","SPECIES","Opuntia ficus-indica (L.) Mill.","Opuntia ficus-indica","(L.) Mill., 1768","MX","Los Molina. Malpaís Nuevo, al W de V. de Santiago","Guanajuato","PRESENT",1,"ff90b050-c256-11db-b71b-b8a03c50a862",20.404169,-101.203889,80,NA,855,855,0,0,"1981-06-04",4,6,1981,5384064,5384064,"PRESERVED_SPECIMEN","CNS-UT","LL","00271254","","P. Colunga",NA,"CC_BY_4_0","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","P. Colunga","NotAType","",2025-02-01 06:15:51,"","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE"
"9",1895368436,"33948acc-bfac-4107-92c8-6464de387822","875be34257e4f30698ea3afa1268b920","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Mammillaria","Mammillaria_parkinsonii","","SPECIES","Mammillaria parkinsonii C.Ehrenb.","Mammillaria parkinsonii","C. Ehrenb., 1840","MX","Peña Blanca, 12 km W de San Juan Mixtepec","Oaxaca","PRESENT",1,"ff90b050-c256-11db-b71b-b8a03c50a862",17.338611,-97.891389,90,NA,675,675,0,0,"1980-08-19",19,8,1980,7283943,7283943,"PRESERVED_SPECIMEN","CNS-UT","TEX","00271044","","A. D. Zimmerman",NA,"CC_BY_4_0","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","G. M. Ferguson","NotAType","",2025-02-01 06:16:26,"","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE"
"10",1895508584,"33948acc-bfac-4107-92c8-6464de387822","97c7c43f85d581c06ce0ed69d1bbd1b5","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Aporocactus","Aporocactus_martianus","","SPECIES","Aporocactus conzattii Britton & Rose","Aporocactus conzattii","Britton & Rose, 1920","MX","Vicinity of Hwy 175 from Valle Nacional to Oaxaca","Oaxaca","PRESENT",1,"ff90b050-c256-11db-b71b-b8a03c50a862",17.366667,-96.416667,90,NA,500,500,0,0,"1987-02-22",22,2,1987,3955143,7283314,"PRESERVED_SPECIMEN","CNS-UT","TEX","00181824","","W. L. Wagner; J. C. Solomon",NA,"CC_BY_4_0","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","T. B. Croat; D. P. Hannon","NotAType","",2025-02-01 06:16:29,"","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE"
